,Subject ,Items,Quantity,Comments
60,ISEC,DISPLAY BK A4 20 INSERTS - ASSORTED,7.0,
61,ISEC,WRITING PAD A4 8MM RULED 50 PAGE PUNCHED 7 HOLES,2.0,** OPTIONAL
62,ISEC,GRAPH PAD A4 50 LEAF 5MM GRID [R30091],1.0,
63,ISEC,STAPLER MINI MAPED NO.10 WITH STAPLES,1.0,
64,ISEC,PEN MEDIUM POINT MICADOR BLUE,1.0,
65,ISEC,ERASER FABER PENCIL LARGE VINYL 7085-20,1.0,
66,ISEC,PENCIL STANDARD HB FABER,1.0,
67,ISEC,EXERCISE BK 225X175 96 PAGE 8MM,3.0,
68,ISEC,RULER PLASTIC CLEAR 30CM,1.0,
69,ISEC,CALCULATOR SHARP SCIENTIFIC EL531 BLACK,1.0,
70,LEGAL STUDIES,BINDER A4 3D 25MM ASSORTED,1.0,
